point,system,L-mode,L-Ordinate-N(Y),L-Abscissa-E(X),L-Rel-0-points,L-Elevation,R-mode,R-Ordinate-N(Y),R-Abscissa-E(X),R-Rel-0-points,R-Elevation
, 地籍,轉換,105036.13090909100 ,81469.21272727270 ,,, 轉換,105479.54545454500 ,81823.60363636360 ,,
淡020,97,GPS,2775544.72500000000 ,300009.67700000000 ,39.33,9.65594682332 , GPS,2775875.91600000000 ,300500.63600000000 ,631.55311518721 ,3.95400244452 
,67,轉換,2775748.58500000000 ,299178.93800000000 ,,, 轉換,2776079.79900000000 ,299669.87400000000 ,,
, 地籍,轉換,104607.99636363600 ,81940.82181818180 ,,, 轉換,104940.31090909100 ,82430.95272727270 ,,
淡020A,97,GPS,2775324.89100000000 ,300265.19700000000 ,79.16,3.48514572463 , 支距,2775376.58350000000 ,300956.53650000000 ,772.42936959354 ,4.56858044334 
,67,轉換,2775528.75300000000 ,299434.46300000000 ,,, 轉換,2775580.46100000000 ,300125.78700000000 ,,
, 地籍,轉換,104388.67090909100 ,82196.72363636360 ,,, 轉換,104441.83454545500 ,82887.69818181820 ,,
淡021,97,GPS,2775087.11900000000 ,300334.68500000000 ,38.60,9.70819689353 , GPS,2775405.95100000000 ,300926.36100000000 ,710.71184575183 ,4.09071586863 
,67,轉換,2775290.97900000000 ,299503.96000000000 ,,, 轉換,2775609.82800000000 ,300095.61000000000 ,,
, 地籍,轉換,104151.00727272700 ,82266.68727272730 ,,, 轉換,104471.14363636400 ,82857.47272727270 ,,
淡022,97,GPS,2774519.93300000000 ,300629.59500000000 ,79.67,10.08957691614 , 支距,2774599.09500000000 ,301238.87150000000 ,694.06765274309 ,6.25422608873 
,67,轉換,2774723.79600000000 ,299798.89400000000 ,,, 轉換,2774802.96800000000 ,300408.15800000000 ,,
, 地籍,轉換,103584.35454545500 ,82562.71454545450 ,,, 轉換,103664.77636363600 ,83171.56545454540 ,,
淡022A,97,支距,2774499.82600000000 ,300637.87900000000 ,-0.04,9.99271008202 , 支距,2774551.41900000000 ,301213.64800000000 ,578.03592841260 ,2.80884883793 
,67,轉換,2774703.68900000000 ,299807.17900000000 ,,, 轉換,2774755.29100000000 ,300382.93700000000 ,,
, 地籍,轉換,103564.26181818200 ,82571.03818181820 ,,, 轉換,103617.04363636400 ,83146.45818181820 ,,
淡023,97,GPS,2773972.97700000000 ,300803.99900000000 ,-28.10,9.82124814893 , GPS,2774103.35700000000 ,301324.37800000000 ,508.36365025134 ,3.34724082001 
,67,轉換,2774176.84700000000 ,299973.32500000000 ,,, 轉換,2774307.23400000000 ,300493.68800000000 ,,
, 地籍,轉換,103037.71090909100 ,82738.28545454540 ,,, 轉換,103169.15636363600 ,83258.16181818180 ,,
淡024,97,GPS,2773350.61700000000 ,300929.60700000000 ,5.09,9.92622833076 , GPS,2773367.95800000000 ,301326.92000000000 ,402.78124990371 ,2.30586531191 
,67,轉換,2773554.50200000000 ,300098.96100000000 ,,, 轉換,2773571.84800000000 ,300496.26200000000 ,,
, 地籍,轉換,102415.58545454500 ,82865.30363636360 ,,, 轉換,102433.73090909100 ,83262.43818181820 ,,
淡024A,97,支距,2772984.67350000000 ,300909.41000000000 ,-0.31,5.65065893457 , 支距,2772916.92350000000 ,301318.78250000000 ,414.63084669527 ,2.67842438920 
,67,轉換,2773188.56600000000 ,300078.76800000000 ,,, 轉換,2773120.82400000000 ,300488.13200000000 ,,
, 地籍,轉換,102049.59454545500 ,82845.98000000000 ,,, 轉換,101982.67818181800 ,83255.39272727270 ,,
淡025,97,GPS,2772854.73200000000 ,300874.10700000000 ,26.67,5.81490332915 , 支距,2772751.20050000000 ,301280.28900000000 ,445.83892610991 ,1.97848740116 
,67,轉換,2773058.62600000000 ,300043.46500000000 ,,, 轉換,2772955.10500000000 ,300449.63900000000 ,,
, 地籍,轉換,101919.57818181800 ,82810.99818181820 ,,, 轉換,101816.88181818200 ,83217.31454545450 ,,
淡026,97,GPS,2772380.70900000000 ,300661.96100000000 ,4.94,6.55432073687 , GPS,2772098.31300000000 ,301238.71100000000 ,647.11448043023 ,3.00731977064 
,67,轉換,2772584.61100000000 ,299831.31800000000 ,,, 轉換,2772302.23000000000 ,300408.05800000000 ,,
, 地籍,轉換,101445.11272727300 ,82600.04181818180 ,,, 轉換,101163.92909090900 ,83177.33818181820 ,,
淡026-1,97,GPS,2772236.10300000000 ,300547.37400000000 ,0,6.56263581361 , GPS,2771818.80900000000 ,301061.81000000000 ,662.40371415941 ,2.74611620105 
,67,轉換,2772440.00800000000 ,299716.73100000000 ,,, 轉換,2772022.72700000000 ,300231.15600000000 ,,
, 地籍,轉換,101300.26727272700 ,82485.83090909090 ,,, 轉換,100884.08181818200 ,83001.15818181820 ,,
淡027,97,GPS,2772014.49800000000 ,300293.33400000000 ,38.40,10.96112499255 , GPS,2771568.16500000000 ,300968.32400000000 ,847.61236210846 ,2.59659646606 
,67,轉換,2772218.40300000000 ,299462.68800000000 ,,, 轉換,2771772.08400000000 ,300137.66600000000 ,,
, 地籍,轉換,101078.14181818200 ,82232.38545454540 ,,, 轉換,100633.26181818200 ,82908.30000000000 ,,
淡027A,97,GPS,2771877.21900000000 ,300143.52600000000 ,-0.03,11.00066964551 , 支距,2771404.16250000000 ,300936.25050000000 ,923.11385936991 ,3.14230549532 
,67,轉換,2772081.12100000000 ,299312.87400000000 ,,, 轉換,2771608.08300000000 ,300105.58900000000 ,,
, 地籍,轉換,100940.55818181800 ,82082.94181818180 ,,, 轉換,100469.20363636400 ,82876.63090909090 ,,
淡027A-1,97,GPS,2771756.67200000000 ,300012.28200000000 ,-0.01,10.88306035725 , GPS,2771066.95300000000 ,300778.57200000000 ,1030.96655795871 ,2.51842883759 
,67,轉換,2771960.57100000000 ,299181.62400000000 ,,, 轉換,2771270.87300000000 ,299947.90100000000 ,,
, 地籍,轉換,100819.74000000000 ,81952.01636363640 ,,, 轉換,100131.68000000000 ,82719.79818181820 ,,
淡028,97,GPS,2771646.95400000000 ,299893.15400000000 ,51.40,10.98516746666 , 支距,2770884.21700000000 ,300621.44450000000 ,1105.99697683942 ,3.30292138505 
,67,轉換,2771850.85000000000 ,299062.48800000000 ,,, 轉換,2771088.13500000000 ,299790.76900000000 ,,
, 地籍,轉換,100709.76909090900 ,81833.18181818180 ,,, 轉換,99948.62181818180 ,82563.13818181820 ,,
淡028-1,97,GPS,2771389.54700000000 ,299612.65300000000 ,-0.04,10.92498695618 , 支距,2770814.83150000000 ,300548.41800000000 ,1098.11938786917 ,2.92785958907 
,67,轉換,2771593.43600000000 ,298781.97100000000 ,,, 轉換,2771018.74900000000 ,299717.74000000000 ,,
, 地籍,轉換,100451.77454545500 ,81553.36181818180 ,,, 轉換,99879.08545454540 ,82490.29090909090 ,,
淡028A,97,GPS,2771554.15900000000 ,299791.68500000000 ,-0.69,10.94496571158 , GPS,2770871.09800000000 ,300587.69800000000 ,1048.21849261965 ,2.92798550586 
,67,轉換,2771758.05200000000 ,298961.01300000000 ,,, 轉換,2771075.01600000000 ,299757.02200000000 ,,
, 地籍,轉換,100616.76000000000 ,81731.96000000000 ,,, 轉換,99935.43090909090 ,82529.42909090910 ,,
淡029,97,支距,2771334.66450000000 ,299553.47950000000 ,91.68,11.23982788256 , 支距,2770459.54450000000 ,300306.83000000000 ,1246.39727719405 ,3.11091093975 
,67,轉換,2771538.55200000000 ,298722.79500000000 ,,, 轉換,2770663.45800000000 ,299476.14000000000 ,,
, 地籍,轉換,100396.77090909100 ,81494.33090909090 ,,, 轉換,99523.32727272730 ,82249.59090909090 ,,
淡029-1,97,GPS,2771149.28800000000 ,299350.80100000000 ,-0.02,11.08702513205 , GPS,2770301.03600000000 ,300157.45400000000 ,1170.54418786568 ,2.86493152848 
,67,轉換,2771353.17200000000 ,298520.10700000000 ,,, 轉換,2770504.94700000000 ,299326.75900000000 ,,
