point,system,L-mode,L-Ordinate-N(Y),L-Abscissa-E(X),Rel-0-points,R-mode,R-Ordinate-N(Y),R-Abscissa-E(X)
淡035,97,GPS,"2,770,054.82","296,603.46",62.99, GPS,2769606.788,296841.535
,67,轉換,"2,770,258.67","295,772.73",, 轉換,2769810.646,296010.817
, 地籍,轉換,"99,110.60","78,547.87",, 轉換,98663.107,78786.951
淡035A,97,支距,"2,770,053.51","296,521.83",1.54, 支距,2769536.547,296716.315
,67,轉換,"2,770,257.36","295,691.11",, 轉換,2769740.404,295885.595
, 地籍,轉換,"99,109.11","78,466.26",, 轉換,98592.598,78661.916
淡036,97,GPS,"2,769,782.75","296,133.05",13.25, GPS,2769365.369,296419.597
,67,轉換,"2,769,986.60","295,302.30",, 轉換,2769569.22,295588.871
, 地籍,轉換,"98,837.61","78,078.05",, 轉換,98420.8,78365.618
淡036A,97,GPS,"2,769,619.18","295,865.29",7.68, GPS,2769147.147,296095.535
,67,轉換,"2,769,823.01","295,034.54",, 轉換,2769350.989,295264.802
, 地籍,轉換,"98,673.48","77,810.67",, 轉換,98201.971,78041.993
淡037,97,GPS,"2,769,265.86","295,380.52",77.85, 支距,2768885.368,295740.324
,67,轉換,"2,769,469.69","294,549.77",, 轉換,2769089.2,294909.593
, 地籍,轉換,"98,319.10","77,326.79",, 轉換,97939.447,77687.413
淡038,97,GPS,"2,768,636.82","294,751.83",90.97, GPS,2768403.012,295284.699
,67,轉換,"2,768,840.63","293,921.10",, 轉換,2768606.828,294453.986
, 地籍,轉換,"97,688.69","76,699.66",, 轉換,97456.1,77232.975
淡039,97,GPS,"2,767,908.47","294,370.83",263.79, GPS,2767677.122,294866.787
,67,轉換,"2,768,112.26","293,540.15",, 轉換,2767880.93,294036.111
, 地籍,轉換,"96,959.52","76,320.45",, 轉換,96729.284,76816.862
淡040,97,GPS,"2,767,281.33","294,153.16",120.7, 支距,2767194.715,294681.758
,67,轉換,"2,767,485.13","293,322.51",, 轉換,2767398.53,293851.106
, 地籍,轉換,"96,331.91","76,104.28",, 轉換,96246.475,76633
淡041,97,GPS,"2,766,503.48","294,024.44",57.63, 支距,2766444.802,294542.568
,67,轉換,"2,766,707.29","293,193.82",, 轉換,2766648.635,293711.956
, 地籍,轉換,"95,553.76","75,977.44",, 轉換,95496.28,76495.576
淡041A,97,GPS,"2,766,421.17","294,032.98",65.5, 支距,2766371.893,294535.299
,67,轉換,"2,766,624.99","293,202.37",, 轉換,2766575.728,293704.689
, 地籍,轉換,"95,471.48","75,986.17",, 轉換,95423.36,76488.476
淡042,97,GPS,"2,765,955.99","293,977.41",212.02, 支距,2765928.201,294505.773
,67,轉換,"2,766,159.82","293,146.82",, 轉換,2766132.046,293675.177
, 地籍,轉換,"95,006.19","75,931.68",, 轉換,94979.635,76459.975
淡043,97,GPS,"2,765,615.11","293,964.59",81.25, 支距,2765524.379,294507.485
,67,轉換,"2,765,818.95","293,134.00",, 轉換,2765728.231,293676.891
, 地籍,轉換,"94,665.30","75,919.65",, 轉換,94575.84,76462.622
淡043A,97,GPS,"2,765,367.59","293,959.11",124.38, 支距,2765313.054,294506.23
,67,轉換,"2,765,571.43","293,128.52",, 轉換,2765516.91,293675.639
, 地籍,轉換,"94,417.78","75,914.73",, 轉換,94364.531,76461.842
淡044,97,GPS,"2,765,253.76","293,956.73",66.73, GPS,2764997.331,294482.373
,67,轉換,"2,765,457.61","293,126.15",, 轉換,2765201.191,293651.786
, 地籍,轉換,"94,303.95","75,912.61",, 轉換,94048.78,76438.696
淡045,97,GPS,"2,764,604.75","293,922.16",53.54, GPS,2764355.767,294408.024
,67,轉換,"2,764,808.61","293,091.59",, 轉換,2764559.63,293577.455
, 地籍,轉換,"93,654.94","75,879.52",, 轉換,93407.109,76365.82
