point,system,mode,Ordinate-N(Y),Abscissa-E(X),Rel-0-points
淡069,97, GPS,2758035.767,282371.883,34.04
,67, 轉換,2758239.637,281541.568,
, 地籍, 轉換,87059.887,64345.784,
淡070,97, GPS,2756955.956,282240.152,743.05
,67, 轉換,2757159.881,281409.873,
, 地籍, 轉換,85979.629,64216.905,
淡071,97, GPS,2756588.109,281958.581,916.64
,67, 轉換,2756792.052,281128.326,
, 地籍, 轉換,85611.155,63936.222,
淡072,97, GPS,2756077.897,281670.207,1281.13
,67, 轉換,2756281.862,280839.986,
, 地籍, 轉換,85100.305,63649.065,
淡073,97, GPS,2755850.441,280885.599,1218.26
,67, 轉換,2756054.413,280055.416,
, 地籍, 轉換,84871.002,62865.035,
淡074,97, GPS,2755508.406,280386.96,916.27
,67, 轉換,2755712.377,279556.805,
, 地籍, 轉換,84527.827,62367.245,
淡075,97, GPS,2755022.874,279882.019,560.04
,67, 轉換,2755226.81,279051.877,
, 地籍, 轉換,84041.149,61863.491,
淡076,97, GPS,2754452.341,279565.906,238.51
,67, 轉換,2754656.254,278735.857,
, 地籍, 轉換,83469.911,61548.738,
淡077,97, GPS,2754283.826,279038.383,-15.99
,67, 轉換,2754487.724,278208.357,
, 地籍, 轉換,83300.184,61021.675,
淡078,97, GPS,2753745.399,278593.55,266.05
,67, 轉換,2753949.29,277763.554,
, 地籍, 轉換,82760.747,60578.145,
淡078A,97, GPS,2753809.507,278210.04,-44.63
,67, 轉換,2754013.387,277380.036,
, 地籍, 轉換,82823.991,60194.567,
淡078B,97, GPS,2753111.65,278426.469,0.94
,67, 轉換,2753315.55,277596.502,
, 地籍, 轉換,82126.656,60412.585,
淡079,97, GPS,2752997.709,278303.695,-171.83
,67, 轉換,2753201.612,277473.719,
, 地籍, 轉換,82012.442,60290.1,
淡080,97, GPS,2752478.388,278183.253,268.69
,67, 轉換,2752682.315,277353.263,
, 地籍, 轉換,81492.864,60170.875,
淡080A,97, GPS,2752076.458,277980.331,43.33
,67, 轉換,2752280.39,277150.362,
, 地籍, 轉換,81090.478,59968.915,
淡081,97, GPS,2751951.616,277787.931,154
,67, 轉換,2752155.542,276957.964,
, 地籍, 轉換,80965.196,59776.829,
淡082,97, 支距,2751499.909,277178.418,-1.03
,67, 轉換,2751703.82,276348.461,
, 地籍, 轉換,80512.12,59168.464,
淡083,97, GPS,2750536.486,277388.227,698.27
,67, 轉換,2750740.501,276558.367,
, 地籍, 轉換,79549.187,59380.475,
淡084,97, GPS,2750093.153,277246.347,633.71
,67, 轉換,2750297.17,276416.487,
, 地籍, 轉換,79105.54,59239.647,
淡085,97, GPS,2749561.409,276768.115,472.92
,67, 轉換,2749765.437,275938.242,
, 地籍, 轉換,78572.711,58762.722,
淡086,97, GPS,2748998.291,276859.04,859.85
,67, 轉換,2749202.387,276029.234,
, 地籍, 轉換,78009.865,58854.882,
淡087,97, 支距,2748476.447,276331.883,531.23
,67, 轉換,2748680.574,275502.039,
, 地籍, 轉換,77486.824,58329.035,
淡088,97, GPS,2748250.299,275795.848,-0.03
,67, 轉換,2748454.422,274965.917,
, 地籍, 轉換,77259.44,57793.653,
淡089,97, GPS,2747721.025,275985.247,264.42
,67, 轉換,2747925.23,275155.38,
, 地籍, 轉換,76730.616,57984.26,
淡090,97, GPS,2747311.159,275739.589,473.6
,67, 轉換,2747515.407,274909.681,
, 地籍, 轉換,76320.218,57739.593,
淡090A,97, 支距,2746480.522,275470.255,-14.68
,67, 轉換,2746684.872,274640.294,
, 地籍, 轉換,75489.025,57472.238,
